Fichier,Section,Séquence,Texte ES,Texte EN,Texte FR,Nouveau ES,Nouveau EN,Nouveau FR
components/ActivitiesPage.tsx,ActivitiesPage,seq-001,Rincón del Mar,Rincón del Mar,Rincón del Mar,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-002,Actividades & Excursiones,Activities & Excursions,Activités & Excursions,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-003,Descubre la magia del Caribe colombiano,Discover the magic of the Colombian Caribbean,Découvrez la magie de la Caraïbe colombienne,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-004,"Explora experiencias únicas diseñadas para conectar con la naturaleza, la cultura local y la belleza del archipiélago de San Bernardo.","Explore unique experiences designed to connect with nature, local culture, and the beauty of the San Bernardo archipelago.","Explorez des expériences uniques conçues pour vous connecter avec la nature, la culture locale et la beauté de l'archipel de San Bernardo.",,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-005,Plancton Tour,Plancton Tour,Plancton Tour,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-006,Experiencia nocturna,Night experience,Expérience nocturne,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-007,Avistamiento de aves al atardecer en Isla Pájaros y bioluminiscencia en el archipiélago de San Bernardo.,Bird watching at sunset on Bird Island and bioluminescence in the San Bernardo archipelago.,Observation des oiseaux au coucher du soleil sur l'île des Oiseaux et bioluminescence dans l'archipel de San Bernardo.,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-008,Todos los días: 5:30 - 8:00 pm,Daily: 5:30 - 8:00 pm,Tous les jours : 17h30 - 20h,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-009,$50.000,"$50,000",50 000,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-010,por persona,per person,par personne,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-011,Avistamiento de aves,Bird watching,Observation des oiseaux,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-012,Nado con bioluminiscencia,Bioluminescence swim,Baignade bioluminescente,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-013,Experiencia nocturna única,Unique night experience,Expérience nocturne unique,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-014,Reservar ahora,Book now,Réserver maintenant,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-015,Islands Tour,Islands Tour,Islands Tour,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-016,Tour de islas,Island hopping,Tour des îles,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-017,Paseo en lancha por las islas del archipiélago de San Bernardo.,Boat ride through the islands of the San Bernardo archipelago.,Promenade en bateau dans les îles de l'archipel de San Bernardo.,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-018,Todos los días: 8:30 am - 2:30 pm,Daily: 8:30 am - 2:30 pm,Tous les jours : 8h30 - 14h30,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-019,$70.000,"$70,000",70 000,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-020,por persona,per person,par personne,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-021,Isla Tintinpán,Tintinpán Island,Île Tintinpán,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-022,Isla Palma,Palma Island,Île Palma,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-023,Isla Mucura,Mucura Island,Île Mucura,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-024,Reservar ahora,Book now,Réserver maintenant,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-025,Manglar Ecotour,Manglar Ecotour,Manglar Ecotour,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-026,Ecoturismo,Ecotourism,Écotourisme,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-027,Paseo en canoa por el manglar y caminata por el bosque tropical.,Canoe ride through the mangrove and walk through the tropical forest.,Promenade en pirogue dans la mangrove et randonnée dans la forêt tropicale.,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-028,Todos los días: 8 - 10 am / 4 - 6 pm,Daily: 8 - 10 am / 4 - 6 pm,Tous les jours : 8h - 10h / 16h - 18h,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-029,$40.000,"$40,000",40 000,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-030,por persona,per person,par personne,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-031,Avistamiento de aves,Bird watching,Observation des oiseaux,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-032,Osos perezosos,Sloths,Paresseux,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-033,Caminata guiada,Guided walk,Randonnée guidée,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-034,Reservar ahora,Book now,Réserver maintenant,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-035,¿Por qué reservar con nosotros?,Why book with us?,Pourquoi réserver avec nous ?,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-036,Seguro incluido,Insurance included,Assurance incluse,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-037,Todas nuestras excursiones cuentan con seguro de viaje,All our excursions include travel insurance,Toutes nos excursions incluent une assurance voyage,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-038,Guía local experto,Expert local guide,Guide local expert,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-039,Conoce cada rincón con guías bilingües certificados,Know every corner with certified bilingual guides,Connaissez chaque coin avec des guides bilingues certifiés,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-040,Mejor precio directo,Best direct price,Meilleur prix direct,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-041,Sin intermediarios. Precio justo para viajeros,No intermediaries. Fair price for travelers,Sans intermédiaires. Prix juste pour les voyageurs,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-042,¿Listo para la aventura?,Ready for adventure?,Prêt pour l'aventure ?,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-043,Reserva tu excursión favorita con nosotros. Te ayudamos a planificar cada detalle de tu experiencia.,Book your favorite excursion with us. We help you plan every detail of your experience.,Réservez votre excursion favorite avec nous. Nous vous aidons à planifier chaque détail de votre expérience.,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-044,Contactar por WhatsApp,Contact via WhatsApp,Contacter par WhatsApp,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-045,o llámanos al,or call us at,ou appelez-nous au,,,
components/ActivitiesPage.tsx,ActivitiesPage,seq-046,+57 310 527 0542,+57 310 527 0542,+57 310 527 0542,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-001,Volver a habitaciones,Back to rooms,Retour aux chambres,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-002,,Our crown jewel,Notre joyau,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-003,Cabaña APU,APU Cabin,Cabane APU,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-004,"Frente al mar, donde las olas cantan tu sueño","Beachfront, where the waves sing you to sleep","Front de mer, où les vagues chantent votre sommeil",,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-005,,"Our crown jewel. A private cabin just meters from the ocean, with its own terrace and hammock under the stars. Wake up to the sound of the waves and the scent of the sea.","Notre joyau. Une cabane privée à quelques mètres de l'océan, avec sa propre terrasse et son hamac sous les étoiles. Réveillez-vous au son des vagues et à l'odeur de la mer.",,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-006,Desde $160.000,"From $160,000",À partir de 160 000,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-007,por persona por noche,per person per night,par personne par nuit,,,
